ft,bt,km,transmission,ownerNo,oem,model,modelYear,variantName,price,InsuranceValidity,RTO,Mileage,Color,EngineType,Displacement,NoofCylinder,FuelSuppySystem,TurboCharger,SuperCharger,GearBox,DriveType, SeatingCapacity,SteeringType,FrontBrakeType,RearBrakeType,TyreType,NoDoorNumbers,city
Petrol,Hatchback,60000,Manual,1,Volkswagen,Volkswagen Polo,2014,Petrol Highline 1.2L,490000,Comprehensive,TN02,16.47,Grey,In-Line Petrol Engine,1198,3,MPFI ,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Chennai
Petrol,SUV,45787,Manual,1,Kia,Kia Seltos,2020,GTX Plus,1590000,Third Party insurance,TN09,16.5,Black,Smartstream G1.4,1353,4,GDi,Yes,No,6,FWD,5,Electric,Disc,Disc,"Tubeless, Radial",5,Chennai
Petrol,Sedan,80000,Manual,2,Tata,Tata Indigo,2009,GLX,114000,Third Party insurance,TN07,14.4,Others,In-Line Engine,1396,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Chennai
Diesel,Sedan,44000,Manual,1,Honda,Honda Amaze,2014,S i-Dtech,475000,Comprehensive,TN07,25.8,Silver,i-DTEC Diesel Engine,1498,4,MPFI,Yes,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Sedan,4786,Automatic,1,Honda,Honda Amaze,2020,VX CVT Petrol,973000,Third Party insurance,TN01,18.3,White,i-VTEC Petrol Engine,1199,4,MPFi,No,No,CVT,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Hatchback,39024,Manual,1,Hyundai,Hyundai i20,2018,1.2 Asta,630000,Comprehensive,TN11,18.6,Grey,Kappa VTVT Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,Tubeless,5,Chennai
Petrol,SUV,114386,Manual,1,Hyundai,Hyundai Creta,2018,1.6 E Plus,827000,Third Party insurance,TN02,15.8,White,VTVT Petrol Engine,1591,4,MPFI,No,No,6,FWD,5,Power,Disc,Drum,Tubeless,5,Chennai
Petrol,Hatchback,16561,Manual,2,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Sportz BSIV,569000,Comprehensive,TN70,18.9,Blue,Kappa VTVT Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,Tubeless,5,Chennai
Petrol,Hatchback,23328,Manual,1,Renault,Renault KWID,2021,Climber 1.0 MT Opt,490000,Comprehensive,TN83,21.74,Blue,Petrol Engine,999,3,MPFi,No,No,5,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",5,Chennai
Petrol,Hatchback,16473,Manual,1,Maruti,Maruti S-Presso,2020,VXI Plus 2019-2022,485000,Comprehensive,TN11,21.7,Red,K10C,998,3,MPFi,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless, Radial",5,Chennai
Petrol,Hatchback,46375,Manual,2,Honda,Honda Brio,2017,1.2 S MT,452000,Third Party,TN01,18.5,Silver,i-VTEC Engine,1198,4,PGM - Fi,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Chennai
Petrol,Hatchback,91799,Automatic,1,Maruti,Maruti Baleno,2017,1.2 CVT Zeta,622000,Comprehensive,TN11,21.4,Blue,VVT Petrol Engine,1197,4,MPFI,No,No,CVT,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Chennai
Petrol,Hatchback,38919,Manual,3,Hyundai,Hyundai i20,2016,Sportz 1.2,554000,Comprehensive,TN06,18.6,Red,Kappa VTVT Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,Tubeless,5,Chennai
Petrol,Hatchback,70235,Manual,1,Maruti,Maruti Wagon R,2016,VXI,375000,Comprehensive,TN09,18.9,Grey,K Series Petrol Engine,998,3,MPFI,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Sedan,3989,Automatic,1,Honda,Honda Amaze,2020,VX CVT Petrol,967000,Third Party insurance,TN01,18.3,Golden Brown,i-VTEC Petrol Engine,1199,4,MPFi,No,No,CVT,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",4,Chennai
Diesel,Sedan,91773,Manual,1,Honda,Honda Amaze,2015,S Diesel,475000,Comprehensive,TN14,24.7,TITANIUM GREY,i-DTEC Diesel Engine,1498,4,CRDi,Yes,No,5,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Hatchback,60000,Manual,2,Maruti,Maruti Alto 800,2019,LXI,320000,Third Party insurance,TN02,22.05,Others,F8D Petrol Engine,796,3,CRDi,Yes,No,5,FWD,5,Electric,Disc,Drum,Tubeless Tyres,5,Chennai
Petrol,Sedan,28906,Manual,1,Honda,Honda Amaze,2018,VX Petrol,695000,Comprehensive,TN07,18.6,Silver,i-VTEC Petrol Engine,1199,4,MPFi,No,No,5,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Hatchback,70000,Manual,3,Hyundai,Hyundai i20,2009,Asta,250000,Third Party insurance,TN20,17.0,Others,In-Line Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disk,Drum,"Tubeless,Radial",5,Chennai
Petrol,Hatchback,43428,Manual,1,Maruti,Maruti Alto 800,2014,LXI,260000,Third Party insurance,TN 0,22.74,Grey,F8D Petrol Engine,796,3,MPFi,No,No,5,FWD,5,Power,Solid Disc,Drum,Tubeless Tyres,5,Chennai
Diesel,Hatchback,67000,Manual,1,Chevrolet,Chevrolet Beat,2013,Diesel LS,285000,Comprehensive,TN05,25.44,White,Smartech Engine,936,3,MPFI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Chennai
Petrol,Hatchback,70528,Automatic,1,Maruti,Maruti Baleno,2017,1.2 CVT Zeta,616000,Comprehensive,TN14,21.4,Orange,VVT Petrol Engine,1197,4,MPFI,No,No,CVT,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Chennai
Petrol,Hatchback,35413,Manual,1,Hyundai,Hyundai i20,2016,Asta 1.2,594000,Third Party insurance,TN48,18.6,White,Kappa VTVT Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,Tubeless,5,Chennai
Petrol,Hatchback,40000,Manual,2,Maruti,Maruti Alto 800,2018,VXI Optional,320000,Third Party insurance,TN48,24.7,Others,F8D Petrol Engine,796,3,MPFi,No,No,5,FWD,5,Power,Solid Disc,Drum,Tubeless Tyres,5,Chennai
Petrol,Hatchback,66285,Automatic,1,Honda,Honda Jazz,2017,1.2 V AT i VTEC,647000,Third Party insurance,TN01,19.0,White,i-VTEC Petrol Engine,1199,4,PGM - Fi,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Chennai
Petrol,SUV,83129,Automatic,1,Kia,Kia Seltos,2019,GTX Plus DCT,1400000,Zero Dep,TN23,16.5,White,Smartstream G1.4,1353,4,GDi,Yes,No,7- DCT,FWD,5,Electric,Disc,Disc,"Tubeless, Radial",5,Chennai
Petrol,Sedan,87055,Manual,1,Honda,Honda City,2016,SV MT,600000,Comprehensive,TN07,17.4,White,i-VTEC,1497,4,GDi,Yes,No,5,FWD,5,Electric,Ventilated Disc,Drum,"Tubeless, Radial",4,Chennai
Petrol,Hatchback,37218,Manual,2,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Sportz BSIV,505000,Third Party insurance,TN16,18.9,Others,Kappa VTVT Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,Tubeless,5,Chennai
Petrol,SUV,60000,Manual,1,Hyundai,Hyundai Venue,2019,SX Opt Turbo BSIV,900000,Third Party insurance,TN38,18.27,Others,Kappa VTVT Petrol Engine,998,3,GDi,Yes,No,6,FWD,5,Power,Disc,Drum,Radial,5,Chennai
Petrol,Hatchback,33640,Manual,1,Hyundai,Hyundai i20,2019,Asta Option BSIV,730000,Third Party insurance,TN09,18.6,Blue,Kappa VTVT Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,Tubeless,5,Chennai
Petrol,Hatchback,23608,Manual,1,Ford,Ford Freestyle,2020,Titanium,648000,Comprehensive,TN14,18.5,White,1.2 litre Petrol Engine,1194,3,MPFI,No,No,5,FWD,5,Electric,Ventilated Disc,Drum,Tubeless,5,Chennai
Petrol,Hatchback,22353,Manual,1,Hyundai,Hyundai i20,2013,Magna,435000,Comprehensive,TN02,18.5,Silver,Kappa VTVT Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Chennai
Diesel,Sedan,120000,Automatic,1,Skoda,Skoda Rapid,2017,1.5 TDI AT Style BSIV,900000,Third Party insurance,TN07,21.72,Others,Diesel Engine,1498,4,Direct Injection,Yes,No,7,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Sedan,54241,Manual,1,Honda,Honda City,2018,i-VTEC S,740000,Comprehensive,TN11,17.4,Silver,i VTEC Engine,1497,4,PGM-Fi,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Hatchback,86173,Manual,1,Maruti,Maruti Wagon R,2012,VXI,320000,Third Party insurance,TN05,21.79,Blue,K10B Petrol Engine,998,3,MPFI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless Tyres, Radial",5,Chennai
Petrol,Hatchback,91143,Manual,1,Hyundai,Hyundai i10,2011,Magna,295000,Comprehensive,TN18,20.36,Red,Kappa Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Sedan,108818,Manual,1,Honda,Honda City,2015,i VTEC SV,530000,Third Party insurance,TN07,17.4,Red,i VTEC Engine,1497,4,PGM-Fi,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Chennai
Diesel,Hatchback,120000,Manual,2,Volkswagen,Volkswagen Polo,2011,Diesel Comfortline 1.2L,315000,Third Party insurance,TN07,22.07,Others,In-Line Diesel Engine,1199,3,CRDI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Chennai
Diesel,Sedan,107000,Automatic,2,Mercedes-Benz,Mercedes-Benz C-Class,2008,220 CDI AT,850000,Comprehensive,TN09,14.84,Black,CDI Blue Efficiency Engin,2143,4,Direct Injection,No,No,7,RWD,5,Power,Ventilated Disc,Solid Disc,Tubeless Radial Tyres,4,Chennai
Petrol,Sedan,90530,Manual,1,Honda,Honda City,2014,1.5 V MT Exclusive,570000,Comprehensive,TN10,17.0,TITANIUM GREY,In-Line Engine,1497,4,EFI(Electronic Fuel Injection),No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Hatchback,77957,Manual,1,Hyundai,Hyundai i20,2016,Asta 1.2,576000,Comprehensive,TN14,18.6,Red,Kappa VTVT Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,Tubeless,5,Chennai
Petrol,SUV,81394,Manual,2,Hyundai,Hyundai Creta,2017,1.6 VTVT SX Plus,842000,Third Party insurance,TN07,13.0,White,VTVT Petrol Engine,1591,4,MPFi,No,No,6,FWD,5,Power,Disc,Drum,Tubeless,5,Chennai
Petrol,Sedan,64341,Manual,1,Maruti,Maruti Ciaz,2017,ZXi,675000,Third Party insurance,TN22,20.73,Blue,k14B VVT Engine,1373,4,MPFI,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless, Radial",4,Chennai
Petrol,Hatchback,33407,Manual,1,Hyundai,Hyundai Grand i10,2017,1.2 Kappa Sportz Option,518000,Comprehensive,TN09,18.9,Silver,Kappa VTVT Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,Tubeless,5,Chennai
Petrol,Hatchback,14811,Manual,1,Datsun,Datsun RediGO,2021,A,397000,Comprehensive,TN14,20.71,Blue,0.8L Petrol Engine,799,3,MPFi,No,No,5,FWD,5,Power,Disc,Drum,tubeless tyre,5,Chennai
Petrol,Sedan,37000,Manual,1,Skoda,Skoda Rapid,2017,1.6 MPI Style BSIV,775000,Comprehensive,TN01,14.3,Grey,Petrol Engine,1598,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Chennai
Diesel,SUV,49326,Manual,2,Jeep,Jeep Compass,2017,2.0 Longitude BSIV,1166000,Third Party,TN10,17.1,Red,2.0-Litre 4-Cyl Multijet II Engine,1956,4,CRDI,Yes,No,6,4X2,5,power,Disc,Discs,"Radial, Tubless",5,Chennai
Petrol,Sedan,120000,Manual,3,Honda,Honda New Accord,2009,2.4 Inspire M/T,450000,Third Party insurance,TN38,9.8,Others,In-Line Engine,2354,4,PGM-FI (Programmed Fuel Injection),No,No,5,4WD,5,Power,Ventilated Disc,Disc,"Tubeless,Radial",4,Chennai
Petrol,Hatchback,4939,Automatic,1,Tata,Tata Tiago NRG,2022,XZA AMT BSVI,732000,Zero Dep,TN14,20.09,Red,Revotron 1.2 l,1199,3,PGM-FI (Programmed Fuel Injection),No,No,5,FWD,5,Electric,Disc,Drum,"Tubeless, Radial",5,Chennai
Petrol,SUV,82620,Automatic,1,Ford,Ford Ecosport,2014,1.5 Ti VCT AT Titanium,577000,Comprehensive,TN11,16.5,White,Ti-VCT Petrol Engine,1499,4,Direct Injection,No,No,6,FWD,5,Power,Ventlated Disc,Drum,"Tubeless,Radial",5,Chennai
Petrol,Sedan,60000,Manual,2,Skoda,Skoda Superb,2009,1.8 TSI MT,600000,Third Party insurance,TN11,13.14,Red,Turbo Charged Petrol Engi,1798,4,DOHC,Yes,No,Six  Manual,Front Wheel Drive,5,Power,Disc,Disc,"Tubeless,Radial",4,Chennai
Diesel,Hatchback,86857,Manual,1,Volkswagen,Volkswagen Polo,2015,1.5 TDI Highline,510000,Third Party insurance,TN 1,20.14,Blue,TDI Diesel Engine,1498,4,Direct Injection,Yes,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Chennai
Diesel,Sedan,70000,Automatic,3,Mercedes-Benz,Mercedes-Benz C-Class,2010,220 CDI AT,900000,Third Party insurance,TN09,14.84,Others,CDI Blue Efficiency Engin,2143,4,Direct Injection,No,No,7,RWD,5,Power,Ventilated Disc,Solid Disc,Tubeless Radial Tyres,4,Chennai
Petrol,Hatchback,14483,Automatic,1,Maruti,Maruti Wagon R,2022,VXI AT BSVI,625000,Third Party,TN05,25.19,Grey,K10C,998,3,Direct Injection,Yes,No,8,AWD,5,Power,Disc,Drum,"Tubeless, Radial",5,Chennai
Diesel,SUV,19000,Manual,1,Hyundai,Hyundai Creta,2022,E Diesel BSVI,1275000,Comprehensive,TN13,19.23,Black,1.5 L U2 CRDi Diesel,1493,4,CRDi,Yes,No,6,AWD,5,Power,Disc,Disc,"Tubeless, Radial",5,Chennai
Petrol,Hatchback,36202,Manual,1,Ford,Ford Figo,2016,1.2P Trend MT,395000,Comprehensive,TN14,18.16,Golden,Ti-VCT Petrol Engine,1196,4,Direct Injection,No,No,5,FWD,5,EPAS,Ventilated Disc,Drum,Tubeless,5,Chennai
Diesel,Hatchback,70000,Manual,1,Ford,Ford Figo,2017,1.5 Sports Edition MT,450000,Third Party insurance,TN07,24.29,Black,TDCi Diesel Engine,1498,4,Common Rail,Yes,No,5,FWD,5,EPAS,Ventilated Disc,Drum,Tubeless,5,Chennai
Petrol,SUV,20000,Manual,1,Hyundai,Hyundai Venue,2022,SX Opt Turbo iMT BSVI,1085000,Third Party insurance,TN07,19.23,Others,1.0 Kappa Turbo GDi,998,3,Common Rail,Yes,No,iMT,FWD,5,Power,Disc,Drum,"Tubeless, Radial",5,Chennai
Petrol,Hatchback,24077,Manual,1,Datsun,Datsun RediGO,2021,A,400000,Comprehensive,TN12,20.71,Red,0.8L Petrol Engine,799,3,MPFi,No,No,5,FWD,5,Power,Disc,Drum,tubeless tyre,5,Chennai
Diesel,Sedan,81985,Manual,1,Maruti,Maruti Swift Dzire,2012,VDi,485000,Comprehensive,TN04,19.3,Black,In-Line Engine,1248,4,CRDI,Yes,No,5,2 WD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Sedan,91841,Manual,1,Honda,Honda City,2017,i VTEC V,681000,Third Party insurance,TN87,17.8,Red,i VTEC Engine,1497,4,PGM-Fi,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,SUV,64961,Automatic,3,Ford,Ford Ecosport,2016,1.5 Ti VCT AT Titanium BSIV,621000,Third Party insurance,TN05,15.63,Brown,Ti-VCT Petrol Engine,1499,4,Direct Injection,No,No,6,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",5,Chennai
Petrol,Hatchback,20950,Automatic,1,Maruti,Maruti Alto K10,2018,VXI AMT,410000,Comprehensive,TN11,23.95,Red,K Series Petrol Engine,998,3,MPFi,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",5,Chennai
Petrol,Hatchback,94348,Manual,2,Hyundai,Hyundai i20,2016,Sportz 1.2,505000,Comprehensive,TN04,18.6,Red,Kappa VTVT Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,Tubeless,5,Chennai
Diesel,SUV,32000,Manual,1,Hyundai,Hyundai Venue,2022,SX Opt Diesel BSVI,1290000,Comprehensive,TN07,19.23,White,1.5 U2 CRDi,1493,4,MPFI,Yes,No,6,FWD,5,Power,Disc,Drum,"Tubeless, Radial",5,Chennai
Petrol,Hatchback,51744,Manual,1,Hyundai,Hyundai i20,2019,Asta Option BSIV,708000,Third Party insurance,TN05,18.6,Red,Kappa VTVT Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,Tubeless,5,Chennai
Petrol,Sedan,19516,Manual,1,Honda,Honda Amaze,2018,S Petrol,650000,Comprehensive,TN10,18.6,Red,i-VTEC Petrol Engine,1199,4,MPFi,No,No,5,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Hatchback,29093,Manual,1,Maruti,Maruti Swift,2021,VXI,760000,Comprehensive,TN10,18.6,White,K Series Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",5,Chennai
Diesel,Sedan,54408,Automatic,1,Honda,Honda Amaze,2018,V CVT Diesel BSIV,785000,Third Party insurance,TN07,23.8,Silver,i-DTEC Diesel Engine,1498,4,CRDi,Yes,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Hatchback,16000,Manual,1,Maruti,Maruti Baleno,2019,Zeta,745000,Comprehensive,TN02,21.01,Blue,1.2L VVT Engine,1197,4,MPFI,No,No,5,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",5,Chennai
Petrol,Hatchback,56876,Manual,1,Datsun,Datsun RediGO,2016,T Option,270000,Comprehensive,TN02,22.7,Grey,0.8L Petrol Engine,799,3,MPFi,No,No,5,2WD,5,Power,Disc,Drum,"Tubeless,Radial",5,Chennai
Diesel,Hatchback,50000,Manual,1,Volkswagen,Volkswagen Polo,2014,Diesel Comfortline 1.2L,450000,Third Party insurance,TN09,22.07,Blue,In-Line Diesel Engine,1199,3,CRDI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Chennai
Petrol,Sedan,84505,Manual,2,Honda,Honda Amaze,2015,S Petrol,420000,Comprehensive,TN07,18.6,TITANIUM GREY,i-VTEC Petrol Engine,1199,4,MPFi,No,No,5,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Hatchback,22305,Manual,1,Maruti,Maruti Wagon R,2020,VXI,550000,Comprehensive,TN12,21.79,Brown,K10B Petrol Engine,998,3,MPFI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless Tyres, Radial",5,Chennai
Petrol,Hatchback,33573,Manual,1,Renault,Renault KWID,2019,1.0 RXT Optional,421000,Comprehensive,TN13,23.01,Silver,Petrol Engine,999,3,MPFi,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Chennai
Petrol,Hatchback,33615,Manual,1,Datsun,Datsun RediGO,2019,T Option,303000,Third Party,TN65,22.7,Silver,0.8L Petrol Engine,799,3,MPFi,No,No,5,2WD,5,Power,Disc,Drum,"Tubeless,Radial",5,Chennai
Petrol,Hatchback,30000,Automatic,2,Honda,Honda Jazz,2018,VX CVT,780000,Third Party insurance,TN03,18.2,Others,i-VTEC Petrol Engine,1199,4,PGM - Fi,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Chennai
Petrol,Sedan,34935,Manual,1,Tata,Tata Tigor,2020,XZ Plus,643000,Comprehensive,TN73,20.3,White,Revotron Engine,1199,3,MPFi,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Hatchback,66511,Automatic,2,Maruti,Maruti Celerio,2018,ZXI Optional AMT BSIV,474000,Comprehensive,TN09,23.1,Orange,K10B Engine,998,3,MPFi,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless, Radial",5,Chennai
Petrol,Sedan,24000,Automatic,1,Toyota,Toyota Camry,2021,2.5 Hybrid,4200000,Comprehensive,TN03,19.16,White,2AR-FXE Petrol Engine,2494,4,EFI,No,No,6,FWD,5,Power,Ventilated Disc,Solid Disc,"Tubeless,Radial",4,Chennai
Petrol,Sedan,68979,Manual,1,Maruti,Maruti Swift Dzire,2017,VXI 1.2,644000,Comprehensive,TN06,21.21,Blue,K Series VVT Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Hatchback,45161,Automatic,2,Maruti,Maruti Wagon R,2019,AMT VXI,519000,Comprehensive,TN05,20.51,Orange,K10B Petrol Engine,998,3,MPFI,No,No,5,FWD,5,Power,Ventilated Disc,Drum,Tubeless Tyres,5,Chennai
Diesel,SUV,42917,Manual,1,Ford,Ford Ecosport,2018,1.5 Diesel Titanium BSIV,811000,Comprehensive,TN04,23.0,Blue,TDCi Diesel Engine,1498,4,Direct Injection,Yes,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Hatchback,20000,Manual,1,Maruti,Maruti Baleno,2019,Zeta,725000,Third Party insurance,TN04,21.01,Others,1.2L VVT Engine,1197,4,MPFI,No,No,5,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",5,Chennai
Petrol,Hatchback,32000,Automatic,1,Maruti,Maruti Baleno,2018,Alpha CVT,725000,Comprehensive,TN09,19.56,Grey,1.2L VVT Engine,1197,4,MPFI,No,No,CVT,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",5,Chennai
Diesel,Hatchback,40000,Manual,1,Hyundai,Hyundai i20,2019,Sportz Plus Diesel,750000,Third Party insurance,TN22,22.54,Others,U2 CRDI Diesel Engine,1396,4,CRDI,Yes,No,6,FWD,5,Power,Disc,Drum,Tubeless,5,Chennai
Petrol,Sedan,29911,Manual,1,Honda,Honda City,2020,SV MT,950000,Comprehensive,TN07,17.4,Lunar Silver Metallic,i-VTEC,1497,4,CRDI,Yes,No,5,FWD,5,Electric,Ventilated Disc,Drum,"Tubeless, Radial",4,Chennai
Petrol,Sedan,23000,Automatic,1,Hyundai,Hyundai Verna,2018,VTVT 1.6 AT EX,925000,Comprehensive,TN09,17.0,Grey,VTVT Petrol Engine,1591,4,MPFI,No,No,6,FWD,5,Power,Disc,Drum,Tubeless,4,Chennai
Diesel,Sedan,100000,Manual,2,Tata,Tata Zest,2018,Quadrajet 1.3 75PS XE,525000,Third Party insurance,TN09,22.95,Others,Quadrajet Engine,1248,4,CRDi,Yes,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Chennai
Diesel,Sedan,58000,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2016,C 220 CDI Avantgarde,2650000,Comprehensive,TN06,19.27,White,In-Line Engine,2143,4,CRDi,Yes,No,7,RWD,5,Power,Disc,Disc,"Tubeless, Radial",4,Chennai
Diesel,Hatchback,53764,Manual,1,Maruti,Maruti Swift,2015,VDI BSIV,550000,Comprehensive,TN12,25.2,Grey,DDiS Diesel Engine,1248,4,CRDI,Yes,No,5,FWD,5,Power,Ventilated Disc,Drum,Tubeless Tyres,5,Chennai
Petrol,Hatchback,61455,Manual,1,Hyundai,Hyundai Grand i10,2015,1.2 Kappa Asta,500000,Third Party insurance,TN07,18.9,Silver,Kappa VTVT Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,Tubeless,5,Chennai
Petrol,SUV,52732,Automatic,2,Jeep,Jeep Compass,2018,1.4 Limited,1209000,Zero Dep,TN02,16.0,Silver,1.4-Litre 4-Cyl Multiair Engine,1368,4,CRDI,Yes,No,7,4X2,5,Power,Disc,Discs,"Radial, Tubless",5,Chennai
Petrol,Hatchback,61159,Automatic,2,Honda,Honda Jazz,2017,1.2 V AT i VTEC,656000,Comprehensive,TN10,19.0,Red,i-VTEC Petrol Engine,1199,4,PGM - Fi,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Chennai
Petrol,Hatchback,90000,Manual,2,Hyundai,Hyundai i20,2010,1.2 Asta,295000,Third Party insurance,TN10,17.0,Others,In-Line Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disk,Drum,"Tubeless,Radial",5,Chennai
Petrol,Sedan,95296,Manual,1,Honda,Honda Amaze,2015,S i-Vtech,431000,Comprehensive,TN04,18.0,Brown,i-VTEC Petrol Engine,1198,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,SUV,106506,Manual,1,Hyundai,Hyundai Creta,2018,1.6 SX,895000,Comprehensive,TN01,15.8,Black,VTVT Petrol Engine,1591,4,MPFI,No,No,6,FWD,5,Power,Disc,Drum,Tubeless,5,Chennai
Diesel,Sedan,70000,Automatic,2,BMW,BMW 5 Series,2012,525d,1500000,Third Party insurance,HP38,16.73,Others,In-Line Engine,1995,4,CRDI,Yes,No,8  Sport,FWD,5,Power,Ventilated discs,Ventilated discs,"Tubeless,Radial",4,Chennai
Petrol,Hatchback,108551,Manual,2,Hyundai,Hyundai Grand i10,2015,Sportz,392000,Comprehensive,TN04,18.9,Red,Kappa VTVT Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,Tubeless,5,Chennai
Diesel,Sedan,54186,Manual,1,Honda,Honda Amaze,2014,S i-Dtech,470000,Comprehensive,TN19,25.8,Red,i-DTEC Diesel Engine,1498,4,MPFI,Yes,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Sedan,106848,Automatic,1,Honda,Honda Amaze,2018,V CVT Petrol BSIV,726000,Comprehensive,TN12,19.0,White,i-VTEC Petrol Engine,1199,4,MPFi,No,No,CVT,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Sedan,38464,Automatic,2,Volkswagen,Volkswagen Vento,2020,1.0 TSI Highline Plus AT,1023000,Third Party,TN72,16.35,Brown,TSI Petrol Engine,999,3,TSI,Yes,No,6,FWD,5,Electronic,Disc,Drum,"Tubeless,Radial",4,Chennai
Petrol,Hatchback,59841,Manual,1,Maruti,Maruti Ignis,2017,Delta BSVI,500000,Third Party insurance,TN13,20.89,Grey,VVT,1197,4,TSI,Yes,No,5,FWD,5,Electric,Disc,Drum,"Tubeless, Radial",5,Chennai
Petrol,SUV,19649,Automatic,1,Hyundai,Hyundai Creta,2020,SX Opt Knight IVT BSVI,1590000,Third Party insurance,TN06,19.23,Silver,1.5 L MPi Petrol,1497,4,MPi,No,No,6 IVT,2WD,5,Power,Disc,Disc,"Tubeless, Radial",5,Chennai
