it,ft,bt,km,transmission,ownerNo,owner,oem,model,RearBrakeType,TyreType,AlloyWheelSize,EngineType,NoofCylinder,FuelSuppySystem,NoDoorNumbers,Color,TurboCharger,SuperCharger,DriveType, SeatingCapacity,SteeringType,Ground Clearance Unladen,CargoVolumn,Insurance Validity,Mileage,Front Brake Type,RearBrakeType,CompressionRatio,Acceleration,Top Speed,city,modelYear,centralVariantId,variantName,price,priceActual,city
0,Petrol,Sedan,"42,325",Manual,1,1st Owner,Tata,Tata Tigor,Drum,"Tubeless,Radial",16,1.2L Revotron Engine,3,CRDi,4,Others,No,No,FWD,5,Electric,170,419,Third Party,19.28 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2021,7372,XZ BSVI,₹ 5.17 Lakh,560000,Kolkata
0,Petrol,Sedan,"70,179",Manual,1,1st Owner,Tata,Tata Tigor,Drum,"Tubeless,Radial",16,1.2L Revotron Engine,3,CRDi,4,White,No,No,FWD,5,Electric,170,419,Third Party,19.28 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2021,7371,XM BSVI,₹ 5.18 Lakh,532000,Kolkata
0,Diesel,SUV,"20,000",Manual,1,1st Owner,Renault,Renault Captur,Drum,"Radial,Tubeless",16,K9K dCi Diesel Engine,4,CRDi,5,Others,Yes,No,FWD,5,Power,210mm,392,Third Party insurance,20.37 kmpl,Disc,Drum,10.5,13.24,175.7062571,Kolkata,2018,6100,1.5 Diesel RXL,₹ 8 Lakh,645877,Kolkata
0,Petrol,Sedan,"41,565",Manual,2,2nd Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,K9K dCi Diesel Engine,4,CRDi,4,Blue,Yes,No,FWD,5,Electric,160,378,Comprehensive,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2015,10244,VXI,₹ 3.38 Lakh,343000,Kolkata
0,Diesel,Sedan,"37,243",Automatic,1,1st Owner,Skoda,Skoda Rapid,Drum,"Tubeless,Radial",15,Diesel Engine,4,Direct Injection,4,White,Yes,No,FWD,5,Power,120mm,460,Zero Dep,21.72 kmpl,Disc,Drum,10.5,10.94071856,171.92,Kolkata,2019,3129,1.5 TDI AT Ambition BSIV,₹ 7.94 Lakh,891000,Kolkata
0,Diesel,MUV,"34,000",Manual,1,1st Owner,Toyota,Toyota Innova Crysta,Drum,"Tubeless,Radial",16,2-GD FTV Engine,7,CRDi,5,Purple,Yes,No,RWD,8,Power,178mm,9544.285567,Comprehensive,13.68 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2018,7314,2.4 VX MT 8 STR,₹ 17.35 Lakh,645877,Kolkata
0,Petrol,SUV,"29,717",Automatic,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,2-GD FTV Engine,3,GDi,5,Others,Yes,No,FWD,5,Power,190mm,350,Comprehensive,18.15 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2019,6946,SX Plus Turbo DCT BSIV,₹ 8.53 Lakh,899000,Kolkata
0,Petrol,Sedan,"14,323",Automatic,1,1st Owner,Skoda,Skoda Rapid,Drum,"Tubeless,Radial",16,1.0L TSI Petrol,3,Direct Injection,4,Blue,Yes,No,FWD,5,Power,116mm,460,Comprehensive,16.24 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2020,7981,1.0 TSI Ambition AT,₹ 9.36 Lakh,974000,Kolkata
0,Petrol,Sedan,"23,684",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",15,1.0L TSI Petrol,4,Direct Injection,4,Brown,Yes,No,FWD,5,Electric,160,378,Comprehensive,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2022,7711,ZXI Plus BSVI,₹ 8.50 Lakh,645877,Kolkata
0,Petrol,SUV,"12,059",Manual,1,1st Owner,Skoda,Skoda Kushaq,Drum,"Tubeless, Radial",17,1.0 TSI Petrol Engine,3,TSI,5,White,Yes,No,FWD,5,Electric,155mm,3851405,Comprehensive,19.2 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2021,8479,1.0 TSI Style BSVI,₹ 13.75 Lakh,645877,Kolkata
0,Petrol,SUV,"36,397",Automatic,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,1.0 TSI Petrol Engine,3,GDi,5,White,Yes,No,FWD,5,Power,190mm,350,Third Party,18.15 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2020,6946,SX Plus Turbo DCT BSIV,₹ 9.51 Lakh,645877,Kolkata
0,Petrol,SUV,"60,000",Automatic,1,1st Owner,MG,MG Hector Plus,Disc,"Tubeless, Radial",16,1.5L Turbocharged Intercooled,4,GDi,5,Others,YES,No,FWD,6,Power,192mm,155,Third Party insurance,11.67 kmpl,Disc,Disc,10.5,10.94071856,175.7062571,Kolkata,2020,7909,Smart DCT,₹ 15.50 Lakh,645877,Kolkata
0,Petrol,SUV,"31,745",Automatic,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,1.5L Turbocharged Intercooled,3,GDi,5,White,Yes,No,FWD,5,Power,190mm,350,Zero Dep,18.15 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2019,6946,SX Plus Turbo DCT BSIV,₹ 10.06 Lakh,645877,Kolkata
0,Diesel,MUV,"85,101",Manual,1,1st Owner,Toyota,Toyota Innova Crysta,Drum,"Tubeless,Radial",17,2-GD FTV Engine,4,CRDi,5,Parpel,Yes,No,RWD,7,Power,178mm,9544.285567,Comprehensive,13.68 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2019,7315,2.4 ZX MT,₹ 17.50 Lakh,645877,Kolkata
0,Petrol,SUV,"10,000",Automatic,1,1st Owner,Skoda,Skoda Kushaq,Drum,"Tubeless, Radial",16,1.0 TSI Petrol Engine,3,TSI,5,Gray,Yes,No,FWD,5,Electric,155mm,3851405,Third Party insurance,17.2 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2022,8478,1.0 TSI Ambition AT BSVI,₹ 14 Lakh,645877,Kolkata
0,Diesel,MUV,"40,000",Manual,1,1st Owner,Toyota,Toyota Innova Crysta,Drum,"Tubeless,Radial",16,2-GD FTV Engine,7,Direct Injection,5,Red,Yes,No,RWD,7,Power,178mm,300,Comprehensive,13.68 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2019,2404,2.4 VX MT BSIV,₹ 16.95 Lakh,645877,Kolkata
0,Petrol,Sedan,"38,698",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,2-GD FTV Engine,4,Direct Injection,4,Brown,Yes,No,RWD,5,Electric,160,378,Comprehensive,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2014,10244,VXI,₹ 4.06 Lakh,645877,Kolkata
0,Petrol,SUV,"19,712",Manual,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,Kappa 1.0 L Turbo GDi Petrol,3,GDi,5,White,Yes,No,FWD,5,Electric,190mm,350,Comprehensive,18.27 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2020,7675,SX Turbo,₹ 8.68 Lakh,645877,Kolkata
0,Petrol,SUV,"25,695",Manual,1,1st Owner,Renault,Renault Duster,Drum,Tubeless Radial Tyres,16,1.5L Petrol,4,Multi Point Fuel Injection,5,Blue,No,No,FWD,5,Power,205,475,Comprehensive,16.42 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2021,7703,RXS,₹ 8.27 Lakh,645877,Kolkata
0,Petrol,SUV,"42,970",Manual,1,1st Owner,Renault,Renault Duster,Drum,"Radial,Tubeless",16,1.5L petrol Engine,4,Multi Point Fuel Injection,5,Silver,No,No,FWD,5,Power,205,475,Comprehensive,16.42 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2020,7704,RXZ,₹ 8.04 Lakh,645877,Kolkata
0,Petrol,MUV,"10,000",Manual,2,2nd Owner,Maruti,Maruti XL6,Leading & Trailing Drum,"Tubeless,Radial",16,K15B Smart Hybrid,4,Multi Point Fuel Injection,5,Others,No,No,FWD,6,Power,180mm,209,Third Party insurance,19.01 kmpl,Ventilated Disc,Leading & Trailing Drum,10.5,10.94071856,175.7062571,Kolkata,2021,7099,Alpha,₹ 9.50 Lakh,645877,Kolkata
0,Petrol,SUV,"32,000",Automatic,1,1st Owner,MG,MG Hector,Disc,Radial,16,K15B Smart Hybrid,4,Multi Point Fuel Injection,5,White,Yes,No,FWD,5,Power,192mm,587,Third Party insurance,13.96 kmpl,Disc,Disc,10.5,10.94071856,175.7062571,Kolkata,2019,6937,Sharp AT BSIV,₹ 13.65 Lakh,645877,Kolkata
0,Petrol,Sedan,"20,000",Manual,1,1st Owner,Skoda,Skoda Rapid,Drum,"Tubeless,Radial",16,Petrol Engine,4,MPFI,4,Others,No,No,FWD,5,Power,120mm,460,Third Party insurance,14.3 kmpl,Disc,Drum,10.5,10.94071856,185,Kolkata,2020,5970,Monte Carlo 1.6 MPI BSIV,₹ 8.50 Lakh,645877,Kolkata
0,Petrol,SUV,"46,717",Manual,1,1st Owner,Hyundai,Hyundai Creta,Drum,Tubeless,17,VTVT Petrol Engine,4,MPFI,5,Black,No,No,FWD,5,Power,190mm,400,Comprehensive,15.8 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2019,6430,1.6 SX,₹ 9.99 Lakh,645877,Kolkata
0,Petrol,Sedan,"6,805",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,VTVT Petrol Engine,4,MPFI,4,Red,No,No,FWD,5,Electric,160,378,Comprehensive,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2021,7709,VXI BSVI,₹ 6.34 Lakh,645877,Kolkata
