it,ft,bt,km,transmission,ownerNo,owner,oem,model,RearBrakeType,TyreType,AlloyWheelSize,EngineType,NoofCylinder,FuelSuppySystem,NoDoorNumbers,Color,TurboCharger,SuperCharger,DriveType, SeatingCapacity,SteeringType,Ground Clearance Unladen,CargoVolumn,Insurance Validity,Mileage,Front Brake Type,RearBrakeType,CompressionRatio,Acceleration,Top Speed,city,modelYear,centralVariantId,variantName,price,priceActual,city
0,Diesel,SUV,"60,000",Automatic,2,2nd Owner,Hyundai,Hyundai Creta,Drum,Tubeless,17,U2 CRDI VGT Engine,4,CRDi,5,Others,Yes,No,FWD,5,Power,190mm,400,Third Party insurance,17.6 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2018,6439,1.6 SX Automatic Diesel,₹ 8.50 Lakh,645877,Kolkata
0,Petrol,SUV,"40,000",Manual,1,1st Owner,Tata,Tata Nexon,Drum,Tubeless Radial Tyres,16,Revotron 1.2L Turbocharged engine,3,MPFI,5,Others,Yes,No,FWD,5,Power,209 mm,350,Third Party insurance,17 kmpl,Disc,Drum,10.5,10.94071856,154.19,Kolkata,2018,6578,KRAZ,₹ 5.75 Lakh,645877,Kolkata
0,Petrol,SUV,"28,400",Manual,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,Revotron 1.2L Turbocharged engine,3,GDi,5,Blue,Yes,No,FWD,5,Power,190mm,350,Third Party,18.27 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2020,6891,S Turbo BSIV,₹ 6.99 Lakh,645877,Kolkata
0,Petrol,SUV,"87,172",Manual,1,1st Owner,Hyundai,Hyundai Creta,Drum,Tubeless,17,VTVT Petrol Engine,4,MPFI,5,Orange,No,No,FWD,5,Power,190mm,400,Comprehensive,15.8 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2018,6433,1.6 SX Option,₹ 8.28 Lakh,645877,Kolkata
0,Petrol,SUV,"15,400",Manual,0,0th Owner,Skoda,Skoda Kushaq,Drum,"Tubeless, Radial",17,1.0 TSI Petrol Engine,3,TSI,5,Grey,Yes,No,FWD,5,Electric,155mm,3851405,Third Party insurance,19.2 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2022,8479,1.0 TSI Style BSVI,₹ 12.50 Lakh,645877,Kolkata
0,Diesel,SUV,"34,000",Manual,1,1st Owner,Hyundai,Hyundai Creta,Drum,Tubeless,17,U2 CRDI VGT Engine,4,CRDi,5,White,Yes,No,FWD,5,Power,190mm,400,Third Party insurance,20.5 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2019,6437,1.6 SX Diesel,₹ 8.50 Lakh,645877,Kolkata
0,Petrol,Sedan,"35,984",Manual,1,1st Owner,Skoda,Skoda Rapid,Drum,"Tubeless,Radial",16,1.0L TSI Petrol,3,Direct Injection,4,Grey,Yes,No,FWD,5,Power,116mm,460,Comprehensive,18.97 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2020,7836,1.0 TSI Ambition,₹ 7.34 Lakh,645877,Kolkata
0,Diesel,SUV,"80,443",Manual,1,1st Owner,Renault,Renault Captur,Drum,"Radial,Tubeless",16,K9K dCi Diesel Engine,4,CRDi,5,Silver,Yes,No,FWD,5,Power,210mm,392,Comprehensive,20.37 kmpl,Disc,Drum,10.5,13.24,175.7062571,Kolkata,2017,6100,1.5 Diesel RXL,₹ 5.65 Lakh,645877,Kolkata
0,Diesel,SUV,"1,26,254",Automatic,1,1st Owner,Hyundai,Hyundai Creta,Drum,Tubeless,17,U2 CRDI VGT Engine,4,CRDi,5,White,Yes,No,FWD,5,Power,190mm,400,Comprehensive,17.6 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2019,6439,1.6 SX Automatic Diesel,₹ 8.95 Lakh,645877,Kolkata
0,Petrol,Hatchback,"11,000",Manual,1,1st Owner,Renault,Renault KWID,Drum,"Tubeless,Radial",16,Petrol Engine,3,MPFi,5,Red,No,No,FWD,5,Power,184mm,279,Third Party,23.01 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2019,7189,1.0 RXT Opt BSIV,₹ 3.50 Lakh,645877,Kolkata
0,Petrol,SUV,"32,475",Manual,1,1st Owner,Hyundai,Hyundai Creta,Drum,Tubeless,16,VTVT Petrol Engine,4,MPFI,5,White,No,No,FWD,5,Power,190mm,400,Comprehensive,15.8 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2019,6429,1.6 E Plus,₹ 8 Lakh,645877,Kolkata
0,Diesel,MUV,"15,000",Manual,1,1st Owner,Toyota,Toyota Innova Crysta,Drum,"Tubeless,Radial",16,2-GD FTV Engine,7,CRDi,5,Red,Yes,No,RWD,7,Power,178mm,300,Third Party insurance,13.68 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2020,7313,2.4 VX MT,₹ 18 Lakh,645877,Kolkata
0,Petrol,SUV,"22,000",Automatic,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,Kappa 1.0 L Turbo GDi Petrol,3,GDi,5,White,Yes,No,FWD,5,Electric,190mm,350,Comprehensive,18.15 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2021,7681,SX Plus Turbo DCT,₹ 9.50 Lakh,645877,Kolkata
0,Petrol,SUV,"29,000",Automatic,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,Kappa 1.0 L Turbo GDi Petrol,3,GDi,5,White,Yes,No,FWD,5,Electric,190mm,350,Comprehensive,18.15 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2021,7849,SX Plus Turbo DCT DT,₹ 9.50 Lakh,645877,Kolkata
0,Diesel,SUV,"58,000",Automatic,1,1st Owner,Tata,Tata Nexon,Drum,Tubeless Radial Tyres,16,"Revotorq, 1.5L Turbocharged engine",4,CDI,5,Silver,Yes,No,FWD,5,Power,209 mm,350,Comprehensive,21.5 kmpl,Disc,Drum,10.5,10.94071856,154.19,Kolkata,2019,6500,1.5 Revotorq XMA,₹ 7.25 Lakh,645877,Kolkata
0,Petrol,SUV,"29,000",Automatic,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,Kappa 1.0 L Turbo GDi Petrol,3,GDi,5,White,Yes,No,FWD,5,Electric,190mm,350,Comprehensive,18.15 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2021,7681,SX Plus Turbo DCT,₹ 9.50 Lakh,645877,Kolkata
0,Diesel,MUV,"53,000",Manual,1,1st Owner,Toyota,Toyota Innova Crysta,Drum,"Tubeless,Radial",17,2-GD FTV Engine,4,CRDi,5,Silver,Yes,No,RWD,7,Power,178mm,9544.285567,Comprehensive,13.68 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2017,7315,2.4 ZX MT,₹ 17.50 Lakh,645877,Kolkata
0,Diesel,SUV,"50,000",Manual,1,1st Owner,Tata,Tata Nexon,Drum,Tubeless Radial Tyres,16,"Revotorq, 1.5L Turbocharged engine",4,CDI,5,Others,Yes,No,FWD,5,Power,209 mm,350,Third Party insurance,21.5 kmpl,Disc,Drum,10.5,10.94071856,154.19,Kolkata,2018,5995,1.5 Revotorq XE,₹ 5.50 Lakh,645877,Kolkata
0,Petrol,SUV,"70,000",Manual,1,1st Owner,Tata,Tata Nexon,Drum,Tubeless Radial Tyres,16,Revotron 1.2L Turbocharged engine,3,MPFI,5,Others,Yes,No,FWD,5,Power,209 mm,350,Third Party insurance,17 kmpl,Disc,Drum,10.5,10.94071856,154.19,Kolkata,2019,5992,1.2 Revotron XM,₹ 5.50 Lakh,645877,Kolkata
0,Petrol,SUV,"20,000",Manual,1,1st Owner,Hyundai,Hyundai Creta,Drum,Tubeless,17,VTVT Petrol Engine,4,MPFI,5,Others,No,No,FWD,5,Power,190mm,400,Third Party insurance,15.8 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2019,6430,1.6 SX,₹ 10 Lakh,645877,Kolkata
0,Diesel,SUV,"69,233",Manual,1,1st Owner,Tata,Tata Nexon,Drum,Tubeless Radial Tyres,16,"Revotorq, 1.5L Turbocharged engine",4,CDI,5,Orange,Yes,No,FWD,5,Power,209 mm,350,Comprehensive,21.5 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2019,5997,1.5 Revotorq XT,₹ 7.10 Lakh,645877,Chennai
0,Petrol,SUV,"21,725",Automatic,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,"Revotorq, 1.5L Turbocharged engine",3,GDi,5,Red,Yes,No,FWD,5,Power,190mm,350,Third Party,18.15 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2020,6946,SX Plus Turbo DCT BSIV,₹ 10.36 Lakh,1067000,Chennai
0,Diesel,MUV,"8,00,000",Manual,1,1st Owner,Toyota,Toyota Innova Crysta,Drum,"Tubeless,Radial",16,2-GD FTV Engine,7,Direct Injection,5,Black,Yes,No,RWD,8,Power,178mm,9544.285567,Comprehensive,13.68 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2018,2410,2.4 VX MT 8S BSIV,₹ 21.50 Lakh,645877,Chennai
0,Petrol,SUV,"38,334",Manual,1,1st Owner,Tata,Tata Nexon,Drum,Tubeless Radial Tyres,16,Revotron 1.2L Turbocharged engine,3,MPFI,5,Silver,Yes,No,FWD,5,Power,209 mm,350,Comprehensive,17 kmpl,Disc,Drum,10.5,10.94071856,154.19,Chennai,2018,5992,1.2 Revotron XM,₹ 7.07 Lakh,724000,Chennai
0,Petrol,Hatchback,"84,564",Manual,1,1st Owner,Datsun,Datsun GO,Drum,Tubeless,16,Naturally Aspirated 12V,3,Electronic Injection System,5,White,No,No,FWD,5,Power,180mm,265,Third Party,19.02 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2019,6648,A Petrol,₹ 4.01 Lakh,645877,Chennai
0,Petrol,SUV,"37,000",Manual,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,Kappa 1.2 L MPi Petrol,4,MPi,5,Blue,No,No,FWD,5,Electric,190mm,350,Third Party insurance,17.52 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2020,7673,S,₹ 8.25 Lakh,645877,Chennai
0,Petrol,SUV,"60,000",Automatic,1,1st Owner,Tata,Tata Nexon,Drum,Tubeless Radial Tyres,16,Revotron 1.2L Turbocharged engine,3,MPFI,5,Others,Yes,No,FWD,5,Power,209 mm,350,Third Party insurance,17 kmpl,Disc,Drum,10.5,10.94071856,154.19,Chennai,2018,6388,1.2 Revotron XZA Plus DualTone,₹ 7.50 Lakh,645877,Chennai
0,Petrol,MUV,"80,000",Automatic,1,1st Owner,Maruti,Maruti XL6,Leading & Trailing Drum,"Tubeless,Radial",16,K15B Smart Hybrid,4,MPFI,5,Others,Yes,No,FWD,6,Power,180mm,209,Third Party insurance,17.99 kmpl,Ventilated Disc,Leading & Trailing Drum,10.5,10.94071856,175.7062571,Chennai,2019,7100,Alpha AT,₹ 12 Lakh,645877,Chennai
0,Petrol,Sedan,"1,19,975",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,K15B Smart Hybrid,4,MPFI,4,Red,Yes,No,FWD,5,Electric,160,378,Third Party,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2017,10244,VXI,₹ 5.14 Lakh,550000,Chennai
0,Petrol,Sedan,"96,573",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,K15B Smart Hybrid,4,MPFI,4,Red,Yes,No,FWD,5,Electric,160,378,Zero Dep,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2016,10244,VXI,₹ 5.07 Lakh,561000,Chennai
0,Petrol,SUV,"21,000",Automatic,1,1st Owner,Skoda,Skoda Kushaq,Drum,"Tubeless, Radial",17,1.5 TSI Petrol Engine,4,TSI,5,Silver,Yes,No,FWD,5,Electric,155mm,3851405,Comprehensive,18.86 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2022,8676,1.5 TSI Style DSG,₹ 17.90 Lakh,645877,Chennai
0,Petrol,Sedan,"62,373",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,1.5 TSI Petrol Engine,4,TSI,4,Silver,Yes,No,FWD,5,Electric,160,378,Third Party,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2014,10244,VXI,₹ 4.88 Lakh,645877,Chennai
0,Diesel,SUV,"52,000",Manual,1,1st Owner,Tata,Tata Nexon,Drum,Tubeless Radial Tyres,16,"Revotorq, 1.5L Turbocharged engine",4,CDI,5,Blue,Yes,No,FWD,5,Power,209 mm,350,Comprehensive,21.5 kmpl,Disc,Drum,10.5,10.94071856,154.19,Chennai,2018,5998,1.5 Revotorq XZ Plus,₹ 8.65 Lakh,645877,Chennai
0,Diesel,SUV,"48,574",Manual,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,"Revotorq, 1.5L Turbocharged engine",4,CRDi,5,Blue,No,No,FWD,5,Power,190mm,350,Comprehensive,23.7 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2019,6943,S Diesel BSIV,₹ 9.25 Lakh,645877,Chennai
0,Petrol,SUV,"12,814",Manual,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,Kappa 1.2 L MPi Petrol,4,MPi,5,Green,No,No,FWD,5,Electric,190mm,350,Third Party,17.52 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2021,7931,S Plus,₹ 8.41 Lakh,645877,Chennai
0,Petrol,SUV,"36,349",Manual,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,Kappa 1.0 L Turbo GDi Petrol,3,GDi,5,Blue,Yes,No,FWD,5,Electric,190mm,350,Comprehensive,18 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2021,7924,SX Turbo iMT,₹ 9.40 Lakh,645877,Chennai
0,Diesel,SUV,"47,000",Automatic,1,1st Owner,Hyundai,Hyundai Creta,Drum,Tubeless,17,U2 CRDI VGT Engine,4,CRDi,5,White,Yes,No,FWD,5,Power,190mm,400,Comprehensive,17.6 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2019,6439,1.6 SX Automatic Diesel,₹ 16.90 Lakh,645877,Chennai
0,Petrol,SUV,"60,929",Manual,2,2nd Owner,Hyundai,Hyundai Creta,Drum,Tubeless,17,VTVT Petrol Engine,4,MPFI,5,Silver,No,No,FWD,5,Power,190mm,400,Third Party insurance,15.8 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2018,6430,1.6 SX,₹ 9.82 Lakh,645877,Chennai
0,Diesel,MUV,"1,05,000",Manual,1,1st Owner,Toyota,Toyota Innova Crysta,Drum,"Tubeless,Radial",16,2-GD FTV Engine,7,CRDi,5,Silver,Yes,No,RWD,7,Power,178mm,300,Comprehensive,13.68 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2018,7313,2.4 VX MT,₹ 20.50 Lakh,645877,Chennai
0,Petrol,Sedan,"34,628",Manual,1,1st Owner,Skoda,Skoda Rapid,Drum,"Tubeless,Radial",16,1.0L TSI Petrol,3,Direct Injection,4,Red,Yes,No,FWD,5,Power,116mm,460,Third Party,18.97 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2021,7839,1.0 TSI Monte Carlo,₹ 11.10 Lakh,645877,Chennai
0,Petrol,SUV,"77,000",Manual,1,1st Owner,Hyundai,Hyundai Creta,Drum,Tubeless,17,VTVT Petrol Engine,4,MPFI,5,White,No,No,FWD,5,Power,190mm,400,Comprehensive,15.8 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2015,6430,1.6 SX,₹ 8.75 Lakh,645877,Chennai
0,Petrol,Hatchback,"28,733",Manual,1,1st Owner,Datsun,Datsun RediGO,Drum,Tubeless,16,0.8L Petrol Engine,3,MPFi,5,White,No,No,2WD,5,Power,185mm,222,Third Party insurance,22.7 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2018,5236,T Option,₹ 3.02 Lakh,308000,Chennai
0,Petrol,Sedan,"60,431",Manual,1,1st Owner,Tata,Tata Tigor,Drum,"Tubeless,Radial",15,1.2L Revotron Engine,3,MPFi,4,Maroon,No,No,2WD,5,Electric,170,419,Comprehensive,19.28 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2022,7373,XZ Plus BSVI,₹ 7.22 Lakh,744000,Chennai
0,Petrol,SUV,"85,941",Manual,2,2nd Owner,Tata,Tata Nexon,Drum,Tubeless Radial Tyres,16,Revotron 1.2L Turbocharged engine,3,MPFI,5,Silver,Yes,No,FWD,5,Power,209 mm,350,Third Party insurance,17 kmpl,Disc,Drum,10.5,10.94071856,154.19,Chennai,2018,5992,1.2 Revotron XM,₹ 6.58 Lakh,664000,Chennai
0,Petrol,SUV,"83,294",Manual,1,1st Owner,Hyundai,Hyundai Creta,Drum,Tubeless,16,VTVT Petrol Engine,4,MPFI,5,Red,No,No,FWD,5,Power,190mm,400,Comprehensive,15.8 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2018,6429,1.6 E Plus,₹ 8.35 Lakh,843000,Chennai
0,Diesel,SUV,"17,963",Manual,2,2nd Owner,MG,MG Hector,Disc,Radial,16,VTVT Petrol Engine,4,MPFI,5,White,Yes,No,FWD,5,Power,192mm,587,Third Party,17.41 kmpl,Disc,Disc,10.5,10.94071856,175.7062571,Chennai,2021,6939,Sharp Diesel MT BSIV,₹ 17.03 Lakh,1720000,Chennai
0,Petrol,SUV,"50,580",Manual,1,1st Owner,MG,MG Hector,Disc,Radial,17,VTVT Petrol Engine,4,MPFI,5,White,Yes,No,FWD,5,Power,192mm,9544.285567,Third Party,14.16 kmpl,Disc,Disc,10.5,10.94071856,175.7062571,Chennai,2020,6932,Smart MT,₹ 15.54 Lakh,645877,Chennai
0,Petrol,Sedan,"96,861",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,VTVT Petrol Engine,4,MPFI,4,Red,Yes,No,FWD,5,Electric,160,378,Comprehensive,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2016,10244,VXI,₹ 5.05 Lakh,536000,Chennai
0,Petrol,SUV,"10,000",Automatic,1,1st Owner,Skoda,Skoda Kushaq,Drum,"Tubeless, Radial",17,1.0 TSI Petrol Engine,3,TSI,5,White,Yes,No,FWD,5,Electric,155mm,3851405,Comprehensive,17.2 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2022,8677,1.0 TSI Style AT BSVI,₹ 17.55 Lakh,645877,Chennai
0,Petrol,Sedan,"29,000",Automatic,1,1st Owner,Skoda,Skoda Rapid,Drum,"Tubeless,Radial",16,Petrol Engine,4,MPFI,4,Grey,No,No,FWD,5,Power,120mm,460,Third Party insurance,14.84 kmpl,Disc,Drum,10.5,10.94071856,185,Chennai,2018,3156,1.6 MPI AT Style BSIV,₹ 8.50 Lakh,645877,Chennai
0,Petrol,Sedan,"74,401",Manual,2,2nd Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,Petrol Engine,4,MPFI,4,Silver,No,No,FWD,5,Electric,160,378,Comprehensive,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2016,10244,VXI,₹ 5.27 Lakh,543000,Chennai
0,Petrol,Sedan,"40,000",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,Petrol Engine,4,MPFI,4,Gray,No,No,FWD,5,Electric,160,378,Third Party insurance,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2020,7709,VXI BSVI,₹ 6.10 Lakh,645877,Chennai
0,Petrol,MUV,"10,000",Manual,1,1st Owner,Maruti,Maruti XL6,Leading & Trailing Drum,"Tubeless,Radial",16,K15B Smart Hybrid,4,MPFI,5,Gray,No,No,FWD,6,Power,180mm,209,Third Party insurance,19.01 kmpl,Ventilated Disc,Leading & Trailing Drum,10.5,10.94071856,175.7062571,Chennai,2022,7030,Zeta,₹ 12 Lakh,645877,Chennai
0,Petrol,Sedan,"8,413",Manual,1,1st Owner,Skoda,Skoda Slavia,Drum,"Tubeless,Radial",16,1.5 L TSI Petrol,4,Direct Injection,4,Red,Yes,No,FWD,5,Electric,145mm,521,Zero Dep,18.72 kmpl,Disc,Drum,10.5,10.94071856,156.09,Chennai,2022,8696,1.5 TSI Style BSVI,₹ 17.86 Lakh,645877,Chennai
0,Petrol,Hatchback,"91,261",Manual,1,1st Owner,Datsun,Datsun RediGO,Drum,"Tubeless,Radial",16,0.8L Petrol Engine,3,MPFi,5,Silver,No,No,2WD,5,Power,185mm,222,Third Party,22.7 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2018,5236,T Option,₹ 3.09 Lakh,336000,Chennai
0,Diesel,SUV,"40,000",Manual,1,1st Owner,MG,MG Hector Plus,Disc,"Tubeless, Radial",18,2.0L Turbocharged Diesel,4,MPFi,5,Others,YES,No,2WD,6,Power,192mm,155,Third Party insurance,16.65 kmpl,Disc,Disc,10.5,10.94071856,175.7062571,Chennai,2021,7907,Sharp Diesel MT,₹ 18.75 Lakh,645877,Chennai
0,Diesel,SUV,"60,000",Manual,1,1st Owner,MG,MG Hector Plus,Disc,"Tubeless, Radial",18,2.0L Turbocharged Diesel,4,MPFi,5,Others,YES,No,2WD,6,Power,192mm,155,Third Party insurance,16.65 kmpl,Disc,Disc,10.5,10.94071856,175.7062571,Chennai,2021,7907,Sharp Diesel MT,₹ 18.50 Lakh,645877,Chennai
0,Petrol,Sedan,"88,584",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,2.0L Turbocharged Diesel,4,MPFi,4,Silver,YES,No,2WD,5,Electric,160,378,Zero Dep,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2016,10244,VXI,₹ 5.47 Lakh,569000,Chennai
0,Petrol,Sedan,"27,524",Manual,1,1st Owner,Skoda,Skoda Slavia,Drum,"Tubeless,Radial",16,1.5 L TSI Petrol,4,Direct Injection,4,White,Yes,No,FWD,5,Electric,145mm,521,Zero Dep,18.72 kmpl,Disc,Drum,10.5,10.94071856,156.09,Chennai,2022,8696,1.5 TSI Style BSVI,₹ 18.16 Lakh,1834000,Chennai
0,Diesel,SUV,"45,673",Automatic,1,1st Owner,Tata,Tata Nexon,Drum,Tubeless Radial Tyres,16,"Revotorq, 1.5L Turbocharged engine",4,CDI,5,Grey,Yes,No,FWD,5,Power,209 mm,350,Comprehensive,21.5 kmpl,Disc,Drum,10.5,10.94071856,154.19,Chennai,2019,6500,1.5 Revotorq XMA,₹ 8.25 Lakh,645877,Chennai
0,Diesel,SUV,"1,18,008",Automatic,1,1st Owner,Skoda,Skoda Kodiaq,Disc,Tubeless,18,2.0-litre TDI Diesel Engine,4,CRDI,5,Black,Yes,No,4WD,7,Power,140mm,270,Comprehensive,16.25 kmpl,Disc,Disc,10.5,10.94071856,200.7,Chennai,2018,5357,2.0 TDI Style,₹ 26 Lakh,645877,Chennai
0,Petrol,SUV,"21,609",Automatic,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,Kappa 1.0 L Turbo GDi Petrol,3,GDi,5,Red,Yes,No,FWD,5,Electric,190mm,350,Third Party,18.15 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2020,7849,SX Plus Turbo DCT DT,₹ 10.36 Lakh,645877,Chennai
0,Diesel,MUV,"98,000",Manual,1,1st Owner,Toyota,Toyota Innova Crysta,Drum,"Tubeless,Radial",17,2-GD FTV Engine,4,Direct Injection,5,Silver,Yes,No,RWD,7,Power,178mm,9544.285567,Comprehensive,13.68 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2017,2405,2.4 ZX MT BSIV,₹ 18.50 Lakh,645877,Chennai
0,Petrol,SUV,"27,425",Manual,2,2nd Owner,Tata,Tata Nexon,Drum,Tubeless Radial Tyres,16,Revotron 1.2L Turbocharged engine,3,MPFI,5,Red,Yes,No,FWD,5,Power,209 mm,350,Comprehensive,17 kmpl,Disc,Drum,10.5,10.94071856,154.19,Chennai,2019,5994,1.2 Revotron XZ Plus,₹ 7.19 Lakh,743000,Chennai
0,Petrol,Sedan,"40,000",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,Revotron 1.2L Turbocharged engine,4,MPFI,4,Gray,Yes,No,FWD,5,Electric,160,378,Third Party insurance,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2020,7709,VXI BSVI,₹ 6.10 Lakh,645877,Chennai
0,Petrol,SUV,"1,14,386",Manual,1,1st Owner,Hyundai,Hyundai Creta,Drum,Tubeless,16,VTVT Petrol Engine,4,MPFI,5,White,No,No,FWD,5,Power,190mm,400,Third Party insurance,15.8 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2018,6429,1.6 E Plus,₹ 8.27 Lakh,645877,Chennai
0,Diesel,MUV,"58,000",Manual,1,1st Owner,Toyota,Toyota Innova Crysta,Drum,"Tubeless,Radial",16,2-GD FTV Engine,4,CRDi,5,Purple,Yes,No,RWD,7,Power,178mm,300,Comprehensive,13.68 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2019,7309,2.4 GX MT,₹ 21 Lakh,645877,Chennai
0,Petrol,SUV,"60,000",Manual,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,2-GD FTV Engine,3,GDi,5,Others,Yes,No,FWD,5,Power,190mm,350,Third Party insurance,18.27 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2019,6948,SX Opt Turbo BSIV,₹ 9 Lakh,645877,Chennai
0,Diesel,Sedan,"1,20,000",Automatic,1,1st Owner,Skoda,Skoda Rapid,Drum,"Tubeless,Radial",16,Diesel Engine,4,Direct Injection,4,Others,Yes,No,FWD,5,Power,120mm,460,Third Party insurance,21.72 kmpl,Disc,Drum,10.5,10.94071856,171.92,Chennai,2017,5499,1.5 TDI AT Style BSIV,₹ 9 Lakh,645877,Chennai
0,Petrol,Sedan,"37,000",Manual,1,1st Owner,Skoda,Skoda Rapid,Drum,"Tubeless,Radial",16,Petrol Engine,4,MPFI,4,Grey,No,No,FWD,5,Power,120mm,460,Comprehensive,14.3 kmpl,Disc,Drum,10.5,10.94071856,185,Chennai,2017,5498,1.6 MPI Style BSIV,₹ 7.75 Lakh,645877,Chennai
0,Petrol,MUV,"30,000",Manual,1,1st Owner,Datsun,Datsun GO Plus,Drum,Tubeless,16,In Line Petrol Engine,3,EGIS,5,Others,No,No,FWD,7,Power,170mm,347,Third Party insurance,19.44 kmpl,Ventilated Disc,Drum,10.5,10.94071856,145,Chennai,2017,5229,T BSIV,₹ 3.20 Lakh,645877,Chennai
0,Petrol,Hatchback,"56,876",Manual,1,1st Owner,Datsun,Datsun RediGO,Drum,Tubeless,16,0.8L Petrol Engine,3,MPFi,5,Grey,No,No,2WD,5,Power,185mm,222,Comprehensive,22.7 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2016,5236,T Option,₹ 2.70 Lakh,645877,Chennai
0,Petrol,Hatchback,"33,615",Manual,1,1st Owner,Datsun,Datsun RediGO,Drum,Tubeless,16,0.8L Petrol Engine,3,MPFi,5,Silver,No,No,2WD,5,Power,185mm,222,Third Party,22.7 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Chennai,2019,5236,T Option,₹ 3.03 Lakh,318000,Chennai
